contributory sympathetic nervous system	0	1.3979	1	Think about the possibility of contributory sympathetic nervous system damage for adults with type 2 diabetes who lose the warning signs of hypoglycaemia. 2009, amended 2015	
painful diabetic peripheral neuropathy	0	1.3979	1	For guidance on managing painful diabetic peripheral neuropathy in adults with type 2 diabetes, see the NICE guideline on neuropathic pain in adults.	
sympathetic nervous system damage	0	1.3979	1	Think about the possibility of contributory sympathetic nervous system damage for adults with type 2 diabetes who lose the warning signs of hypoglycaemia. 2009, amended 2015	
initial body weight loss target	0	1.3006	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent	
body weight loss target	0	1.2646	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent	
initial body weight loss	0	1.2646	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent	
erratic blood glucose control	0	1.0759	1	Think about a diagnosis of gastroparesis in adults with type 2 diabetes with erratic blood glucose control or unexplained gastric bloating or vomiting, taking into account possible alternative diagnoses 2009, amended 2015	
first-line antihypertensive drug treatment	0	0.9829	2	First-line antihypertensive drug treatment should be a once-daily, generic angiotensin-converting enzyme (ACE) inhibitor	A calcium-channel blocker should be the first-line antihypertensive drug treatment for a woman for whom, after an informed discussion, it is agreed there is a possibility of her becoming pregnant. 0 For a person with continuing intolerance to an ACE inhibitor (other than renal deterioration or hyperkalaemia), substitute an angiotensin II-receptor antagonist for the ACE inhibitor. 1 Do not combine an ACE inhibitor with an angiotensin II-receptor antagonist to treat hypertension. 2 If the person's blood pressure is not reduced to the individually agreed target with first-line therapy, add a calcium-channel blocker or a diuretic (usually a thiazide or thiazide-related diuretic)	
regulatory agency mhra guidance	0	0.9681	1	Last updated May 2017 safety (see Medicines and Healthcare products Regulatory Agency MHRA guidance) and tolerability of the drug treatment(s) the person's individual clinical circumstances, for example, comorbidities, risks from polypharmacy the person's individual preferences and needs the licensed indications or combinations available cost (if 2 drugs in the same class are appropriate, choose the option with the lowest acquisition cost).	
telephone support self-monitoring dose titration	0	0.8851	1	Insulin-based treatments 2 When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
active insulin dose titration	0	0.8683	1	Insulin-based treatments 2 When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
plasma glucose control support	0	0.8683	1	DVLA guidance (At a glance guide to the current medical standards of fitness to drive) management of hypoglycaemia management of acute changes in plasma glucose control support from an appropriately trained and experienced healthcare professional. 3 When starting insulin therapy in adults with type 2 diabetes, continue to offer metformin for people without contraindications or intolerance	
support self-monitoring dose titration	0	0.8683	1	Insulin-based treatments 2 When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
telephone support self-monitoring dose	0	0.8683	1	Insulin-based treatments 2 When starting insulin therapy in adults with type 2 diabetes, use a structured programme employing active insulin dose titration that encompasses: injection technique, including rotating injection sites and avoiding repeated injections at the same point within sites continuing telephone support self-monitoring dose titration to target levels dietary understanding	
estimated glomerular filtration rate	0	0.8508	1	Last updated May 2017 2 In adults with type 2 diabetes, review the dose of metformin if the estimated glomerular filtration rate (eGFR) is below 45 ml minute 3m2:	
eye screening service type	0	0.7764	0	
local eye screening service	0	0.7764	1	Eye disease 7 On diagnosis, GPs should immediately refer adults with type 2 diabetes to the local eye screening service	
digital retinal photography programme	0	0.6913	1	Discussions should include precautions for driving. 0 Use a quality-assured digital retinal photography programme using appropriately trained staff. 1 Perform visual acuity testing as a routine part of eye screening programmes. 2 Depending on the findings, follow structured eye screening by: routine review in 1 year or earlier review or referral to an ophthalmologist. 3 Arrange emergency review by an ophthalmologist for: sudden loss of vision rubeosis iridis pre-retinal or vitreous haemorrhage retinal detachment. 4 Arrange rapid review by an ophthalmologist for new vessel formation. 5 Refer to an ophthalmologist in accordance with the National Screening	
perform visual acuity testing	0	0.6913	1	Discussions should include precautions for driving. 0 Use a quality-assured digital retinal photography programme using appropriately trained staff. 1 Perform visual acuity testing as a routine part of eye screening programmes. 2 Depending on the findings, follow structured eye screening by: routine review in 1 year or earlier review or referral to an ophthalmologist. 3 Arrange emergency review by an ophthalmologist for: sudden loss of vision rubeosis iridis pre-retinal or vitreous haemorrhage retinal detachment. 4 Arrange rapid review by an ophthalmologist for new vessel formation. 5 Refer to an ophthalmologist in accordance with the National Screening	
