drug treatment treatment	0	1.7143	0	
non-insulin blood glucose	0	1.7143	3	Treatment with a single non-insulin blood glucose lowering therapy (monotherapy)	Treatment with 2 non-insulin blood glucose lowering therapies in combination (dual therapy)	Treatment with either 3 non-insulin blood glucose lowering therapies in combination (triple therapy) or any treatment combination containing insulin	
ml minute m2	0	1.6	4	Stop metformin if the eGFR is below 30 ml minute m2.	Stop metformin if the eGFR is below 30 ml minute m2.	In adults with type 2 diabetes, review the dose of metformin if the estimated glomerular filtration rate (eGFR) is below 45 ml minute m2:	Prescribe metformin with caution for those at risk of a sudden deterioration in kidney function and those at risk of eGFR falling below 45 ml minute m2.	
problematic erectile dysfunction	0	1.4631	2	Assess, educate and support men with type 2 diabetes who have problematic erectile dysfunction, addressing contributory factors such as cardiovascular disease as well as possible treatment options.	Consider a phosphodiesterase-5 inhibitor to treat problematic erectile dysfunction in men with type 2 diabetes, initially choosing the drug with the lowest acquisition cost and taking into account any contraindications.	
caribbean family origin	0	1.3245	2	African or Caribbean family origin, or women for whom there is a possibility of becoming pregnant.	Caribbean family origin should be an ACE inhibitor plus either a diuretic or a generic calcium-channel blocker.	
gastrointestinal side effects	0	1.3245	2	Gradually increase the dose of standard-release metformin over several weeks to minimise the risk of gastrointestinal side effects in adults with type 2 diabetes.	If an adult with type 2 diabetes experiences gastrointestinal side effects with standard-release metformin, consider a trial of modified-release metformin.	
first-line antihypertensive drug	0	1.2307000000000001	3	First-line antihypertensive drug treatment should be a once-daily, generic angiotensin-converting enzyme (ACE) inhibitor	The first-line antihypertensive drug treatment for a person of African or	A calcium-channel blocker should be the first-line antihypertensive drug treatment for a woman for whom, after an informed discussion, it is agreed there is a possibility of her becoming pregnant.	
5–10percent individualise recommendations	0	1.3218	0	
acute intercurrent illness	0	1.3333	1	Be aware that adults with type 2 diabetes who have acute intercurrent illness are at risk of worsening hyperglycaemia	
angiotensin ii-receptor antagonist	0	1.3333	5	For a person with continuing intolerance to an ACE inhibitor (other than renal deterioration or hyperkalaemia), substitute an angiotensin II-receptor antagonist for the ACE inhibitor.	If the person's blood pressure is not reduced to the individually agreed target with triple therapy, add an alpha-blocker, a beta-blocker or a potassium-sparing diuretic (the last with caution if the person is already taking an ACE inhibitor or an angiotensin II-receptor antagonist).	For a person with continuing intolerance to an ACE inhibitor (other than renal deterioration or hyperkalaemia), substitute an angiotensin II-receptor antagonist for the ACE inhibitor.	If the person's blood pressure is not reduced to the individually agreed target with triple therapy, add an alpha-blocker, a beta-blocker or a potassium-sparing diuretic (the last with caution if the person is already taking an ACE inhibitor or an angiotensin II-receptor antagonist).	Do not combine an ACE inhibitor with an angiotensin II-receptor antagonist to treat hypertension.	
arrange emergency review	0	1.3333	1	Arrange emergency review by an ophthalmologist for: sudden loss of vision rubeosis iridis pre-retinal or vitreous haemorrhage retinal detachment.	
arrange rapid review	0	1.3333	1	Arrange rapid review by an ophthalmologist for new vessel formation.	
autonomic neuropathy symptoms	0	1.3333	1	In managing autonomic neuropathy symptoms, include specific interventions indicated by the manifestations (for example, for abnormal sweating or nocturnal diarrhoea).	
blood pressure control	0	1.3333	1	For an adult with type 2 diabetes on antihypertensive drug treatment when diabetes is diagnosed, review blood pressure control and medications used.	
body weight loss	0	1.3218	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent	
consultant-led multidisciplinary team	0	1.3333	3	A consultant-led multidisciplinary team may include a wide range of staff based in primary, secondary and community care.	A consultant-led multidisciplinary team may include a wide range of staff based in primary, secondary and community care.	In adults with type 2 diabetes, only offer a GLP-1 mimetic in combination with insulin with specialist care advice and ongoing support from a consultant-led multidisciplinary team .	
current drug treatment	0	1.3333	1	Make changes only if there is poor control or if current drug treatment is not appropriate because of microvascular complications or metabolic problems.	
diabetic peripheral neuropathy	0	1.3333	1	For guidance on managing painful diabetic peripheral neuropathy in adults with type 2 diabetes, see the NICE guideline on neuropathic pain in adults.	
drug treatment recommendations	0	1.3333	0	
excess energy intake	0	1.3333	1	Advise adults with type 2 diabetes that limited substitution of sucrose-containing foods for other carbohydrate in the meal plan is allowable, but that they should take care to avoid excess energy intake.	
future biosimilar product(s)	0	1.3333	1	The recommendations in this guideline also apply to any current and future biosimilar product(s) of insulin glargine that have an appropriate marketing authorisation that allows the use of the biosimilar(s) in the same indication.	
generic angiotensin-converting enzyme	0	1.3333	1	First-line antihypertensive drug treatment should be a once-daily, generic angiotensin-converting enzyme (ACE) inhibitor	
generic calcium-channel blocker	0	1.3333	1	Caribbean family origin should be an ACE inhibitor plus either a diuretic or a generic calcium-channel blocker.	
haemorrhage retinal detachment	0	1.3333	1	Arrange emergency review by an ophthalmologist for: sudden loss of vision rubeosis iridis pre-retinal or vitreous haemorrhage retinal detachment.	
hyperglycaemia review treatment	0	1.3333	0	
initial body weight	0	1.3218	3	HbA1c and a weight loss of at least 3percent of initial body weight in 6 months).	HbA1c and a weight loss of at least 3percent of initial body weight in 6 months).	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent	
low blood pressure	0	1.3333	1	Check for possible adverse effects of antihypertensive drug treatment – including the risks from unnecessarily low blood pressure.	
meal planning system	0	1.3333	1	When adults with type 2 diabetes are admitted to hospital as inpatients or to any other care setting, implement a meal planning system that provides consistency in the carbohydrate content of meals and snacks.	
measure blood pressure	0	1.3333	1	Measure blood pressure at least annually in an adult with type 2 diabetes without previously diagnosed hypertension or renal disease	
nervous system damage	0	1.3333	1	Think about the possibility of contributory sympathetic nervous system damage for adults with type 2 diabetes who lose the warning signs of hypoglycaemia. 2009, amended 2015	
ongoing nutritional advice	0	1.3333	1	Provide individualised and ongoing nutritional advice from a healthcare professional with specific expertise and competencies in nutrition.	
preventive lifestyle advice	0	1.3333	1	Offer and reinforce preventive lifestyle advice.	
renal disease offer	0	1.3333	0	
specialist care advice	0	1.3333	1	In adults with type 2 diabetes, only offer a GLP-1 mimetic in combination with insulin with specialist care advice and ongoing support from a consultant-led multidisciplinary team .	
structured education programme	0	1.3333	1	Ensure that any structured education programme for adults with type 2 diabetes includes the following components:	
sympathetic nervous system	0	1.3333	1	Think about the possibility of contributory sympathetic nervous system damage for adults with type 2 diabetes who lose the warning signs of hypoglycaemia. 2009, amended 2015	
unexplained bladder-emptying problems	0	1.3333	1	Investigate the possibility of autonomic neuropathy affecting the bladder in adults with type 2 diabetes who have unexplained bladder-emptying problems.	
vision rubeosis iridis	0	1.3333	1	Arrange emergency review by an ophthalmologist for: sudden loss of vision rubeosis iridis pre-retinal or vitreous haemorrhage retinal detachment.	
vitreous haemorrhage retinal	0	1.3333	1	Arrange emergency review by an ophthalmologist for: sudden loss of vision rubeosis iridis pre-retinal or vitreous haemorrhage retinal detachment.	
weight loss target	0	1.3218	1	For adults with type 2 diabetes who are overweight, set an initial body weight loss target of 5–10percent	
diabetes encourage high-fibre	0	1.1776	0	
healthy balanced eating	0	1.1776	1	Emphasise advice on healthy balanced eating that is applicable to the general population when providing advice to adults with type 2 diabetes	
