activities	1	1.0	2	For people with long-standing moderate or severe depression who would benefit from additional social or vocational support, consider: befriending as an adjunct to pharmacological or psychological treatments; befriending should be by trained volunteers providing, typically, at least weekly contact for between 2 and 6 months a rehabilitation programme if a person's depression has resulted in loss of work or disengagement from other social activities over a longer term.	For people with long-standing moderate or severe depression who would benefit from additional social or vocational support, consider: befriending as an adjunct to pharmacological or psychological treatments; befriending should be by trained volunteers providing, typically, at least weekly contact for between 2 and 6 months a rehabilitation programme if a person's depression has resulted in loss of work or disengagement from other social activities over a longer term.	
activity programmes	0	1.0	2	Physical activity programmes for people with persistent subthreshold depressive symptoms or mild to moderate depression should: be delivered in groups with support from a competent practitioner consist typically of three sessions per week of moderate duration (45 minutes to 1 hour) over 10 to 14 weeks (average 12 weeks).	Physical activity programmes for people with persistent subthreshold depressive symptoms or mild to moderate depression should: be delivered in groups with support from a competent practitioner consist typically of three sessions per week of moderate duration (45 minutes to 1 hour) over 10 to 14 weeks (average 12 weeks).	
additional social	0	1.0	2	For people with long-standing moderate or severe depression who would benefit from additional social or vocational support, consider: befriending as an adjunct to pharmacological or psychological treatments; befriending should be by trained volunteers providing, typically, at least weekly contact for between 2 and 6 months a rehabilitation programme if a person's depression has resulted in loss of work or disengagement from other social activities over a longer term.	For people with long-standing moderate or severe depression who would benefit from additional social or vocational support, consider: befriending as an adjunct to pharmacological or psychological treatments; befriending should be by trained volunteers providing, typically, at least weekly contact for between 2 and 6 months a rehabilitation programme if a person's depression has resulted in loss of work or disengagement from other social activities over a longer term.	
adjunct	0	1.0	2	For people with long-standing moderate or severe depression who would benefit from additional social or vocational support, consider: befriending as an adjunct to pharmacological or psychological treatments; befriending should be by trained volunteers providing, typically, at least weekly contact for between 2 and 6 months a rehabilitation programme if a person's depression has resulted in loss of work or disengagement from other social activities over a longer term.	For people with long-standing moderate or severe depression who would benefit from additional social or vocational support, consider: befriending as an adjunct to pharmacological or psychological treatments; befriending should be by trained volunteers providing, typically, at least weekly contact for between 2 and 6 months a rehabilitation programme if a person's depression has resulted in loss of work or disengagement from other social activities over a longer term.	
advantage	1	1.0	4	Last updated May 2017 8 Explain the reasons for, and success of, eye screening systems to adults with type 2 diabetes, so that attendance is not reduced by lack of knowledge or fear of outcome. 9 Use mydriasis with tropicamide when photographing the retina, after prior informed agreement following discussion of the advantages and disadvantages.	Last updated May 2017 8 Explain the reasons for, and success of, eye screening systems to adults with type 2 diabetes, so that attendance is not reduced by lack of knowledge or fear of outcome. 9 Use mydriasis with tropicamide when photographing the retina, after prior informed agreement following discussion of the advantages and disadvantages.	When switching to another antidepressant, be aware that the evidence for the relative advantage of switching either within or between classes is weak.	When switching to another antidepressant, be aware that the evidence for the relative advantage of switching either within or between classes is weak.	
adverse events	0	1.0	2	Discuss antidepressant treatment options with the person with depression, covering: the choice of antidepressant, including any anticipated adverse events, for example side effects and discontinuation symptoms (see recommendation ), and potential interactions with concomitant medication or physical health problems their perception of the efficacy and tolerability of any antidepressants they have previously taken.	Discuss antidepressant treatment options with the person with depression, covering: the choice of antidepressant, including any anticipated adverse events, for example side effects and discontinuation symptoms (see recommendation ), and potential interactions with concomitant medication or physical health problems their perception of the efficacy and tolerability of any antidepressants they have previously taken.	
age-appropriate dose	0	1.0	2	When prescribing antidepressants for older people: prescribe at an age-appropriate dose taking into account the effect of general physical health and concomitant medication on pharmacokinetics and pharmacodynamics	When prescribing antidepressants for older people: prescribe at an age-appropriate dose taking into account the effect of general physical health and concomitant medication on pharmacokinetics and pharmacodynamics	
agent	1	1.0	6	People who have had multiple episodes of depression, and who have had a good response to treatment with an antidepressant and an augmenting agent, should remain on this combination after remission if they find the side effects tolerable and acceptable	If one medication is stopped, it should usually be the augmenting agent	Lithium should not be used as a sole agent to prevent recurrence.	People who have had multiple episodes of depression, and who have had a good response to treatment with an antidepressant and an augmenting agent, should remain on this combination after remission if they find the side effects tolerable and acceptable	If one medication is stopped, it should usually be the augmenting agent	Lithium should not be used as a sole agent to prevent recurrence.	
anti-inflammatory drugs	0	1.0	2	In particular, consider prescribing a gastroprotective drug in older people who are taking non-steroidal anti-inflammatory drugs (NSAIDs) or aspirin.	In particular, consider prescribing a gastroprotective drug in older people who are taking non-steroidal anti-inflammatory drugs (NSAIDs) or aspirin.	
anticipated adverse	0	1.0	2	Discuss antidepressant treatment options with the person with depression, covering: the choice of antidepressant, including any anticipated adverse events, for example side effects and discontinuation symptoms (see recommendation ), and potential interactions with concomitant medication or physical health problems their perception of the efficacy and tolerability of any antidepressants they have previously taken.	Discuss antidepressant treatment options with the person with depression, covering: the choice of antidepressant, including any anticipated adverse events, for example side effects and discontinuation symptoms (see recommendation ), and potential interactions with concomitant medication or physical health problems their perception of the efficacy and tolerability of any antidepressants they have previously taken.	
anticipated adverse events	0	1.0	2	Discuss antidepressant treatment options with the person with depression, covering: the choice of antidepressant, including any anticipated adverse events, for example side effects and discontinuation symptoms (see recommendation ), and potential interactions with concomitant medication or physical health problems their perception of the efficacy and tolerability of any antidepressants they have previously taken.	Discuss antidepressant treatment options with the person with depression, covering: the choice of antidepressant, including any anticipated adverse events, for example side effects and discontinuation symptoms (see recommendation ), and potential interactions with concomitant medication or physical health problems their perception of the efficacy and tolerability of any antidepressants they have previously taken.	
