1	when	_	When	_	WRB	0	_	_	_	_	_	_	_	O
2	working	_	work	_	VBG	0	_	_	_	_	_	work.v	Being_employed	O
3	with	_	with	_	IN	0	_	_	_	_	_	_	_	B-Place_of_employment
4	people	_	people	_	NNS	0	_	_	_	_	_	_	_	I-Place_of_employment
5	with	_	with	_	IN	0	_	_	_	_	_	_	_	I-Place_of_employment
6	depression	_	UNK	_	NN	0	_	_	_	_	_	_	_	I-Place_of_employment
7	and	_	and	_	CC	0	_	_	_	_	_	_	_	I-Place_of_employment
8	their	_	their	_	PRP$	0	_	_	_	_	_	_	_	I-Place_of_employment
9	families	_	family	_	NNS	0	_	_	_	_	_	_	_	I-Place_of_employment
10	or	_	or	_	CC	0	_	_	_	_	_	_	_	I-Place_of_employment
11	carers	_	UNK	_	NNS	0	_	_	_	_	_	_	_	I-Place_of_employment
12	:	_	:	_	:	0	_	_	_	_	_	_	_	O
13	build	_	build	_	VB	0	_	_	_	_	_	_	_	O
14	a	_	a	_	DT	0	_	_	_	_	_	_	_	O
15	trusting	_	UNK	_	NN	0	_	_	_	_	_	_	_	O
16	relationship	_	relationship	_	NN	0	_	_	_	_	_	_	_	O
17	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
18	work	_	work	_	NN	0	_	_	_	_	_	_	_	O
19	in	_	in	_	IN	0	_	_	_	_	_	_	_	O
20	an	_	an	_	DT	0	_	_	_	_	_	_	_	O
21	open	_	open	_	JJ	0	_	_	_	_	_	_	_	O
22	,	_	,	_	,	0	_	_	_	_	_	_	_	O
23	engaging	_	engage	_	VBG	0	_	_	_	_	_	_	_	O
24	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
25	unk	_	UNK	_	JJ	0	_	_	_	_	_	_	_	O
26	manner	_	manner	_	NN	0	_	_	_	_	_	_	_	O
27	.	_	.	_	.	0	_	_	_	_	_	_	_	O

1	when	_	When	_	WRB	0	_	_	_	_	_	_	_	O
2	working	_	work	_	VBG	0	_	_	_	_	_	_	_	O
3	with	_	with	_	IN	0	_	_	_	_	_	_	_	O
4	people	_	people	_	NNS	0	_	_	_	_	_	people.n	People	S-Person
5	with	_	with	_	IN	0	_	_	_	_	_	_	_	O
6	depression	_	UNK	_	NN	0	_	_	_	_	_	_	_	O
7	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
8	their	_	their	_	PRP$	0	_	_	_	_	_	_	_	O
9	families	_	family	_	NNS	0	_	_	_	_	_	_	_	O
10	or	_	or	_	CC	0	_	_	_	_	_	_	_	O
11	carers	_	UNK	_	NNS	0	_	_	_	_	_	_	_	O
12	:	_	:	_	:	0	_	_	_	_	_	_	_	O
13	build	_	build	_	VB	0	_	_	_	_	_	_	_	O
14	a	_	a	_	DT	0	_	_	_	_	_	_	_	O
15	trusting	_	UNK	_	NN	0	_	_	_	_	_	_	_	O
16	relationship	_	relationship	_	NN	0	_	_	_	_	_	_	_	O
17	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
18	work	_	work	_	NN	0	_	_	_	_	_	_	_	O
19	in	_	in	_	IN	0	_	_	_	_	_	_	_	O
20	an	_	an	_	DT	0	_	_	_	_	_	_	_	O
21	open	_	open	_	JJ	0	_	_	_	_	_	_	_	O
22	,	_	,	_	,	0	_	_	_	_	_	_	_	O
23	engaging	_	engage	_	VBG	0	_	_	_	_	_	_	_	O
24	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
25	unk	_	UNK	_	JJ	0	_	_	_	_	_	_	_	O
26	manner	_	manner	_	NN	0	_	_	_	_	_	_	_	O
27	.	_	.	_	.	0	_	_	_	_	_	_	_	O

1	when	_	When	_	WRB	0	_	_	_	_	_	_	_	O
2	working	_	work	_	VBG	0	_	_	_	_	_	_	_	O
3	with	_	with	_	IN	0	_	_	_	_	_	_	_	O
4	people	_	people	_	NNS	0	_	_	_	_	_	_	_	O
5	with	_	with	_	IN	0	_	_	_	_	_	_	_	O
6	depression	_	UNK	_	NN	0	_	_	_	_	_	_	_	O
7	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
8	their	_	their	_	PRP$	0	_	_	_	_	_	_	_	O
9	families	_	family	_	NNS	0	_	_	_	_	_	family.n	Kinship	S-Relatives
10	or	_	or	_	CC	0	_	_	_	_	_	_	_	O
11	carers	_	UNK	_	NNS	0	_	_	_	_	_	_	_	O
12	:	_	:	_	:	0	_	_	_	_	_	_	_	O
13	build	_	build	_	VB	0	_	_	_	_	_	_	_	O
14	a	_	a	_	DT	0	_	_	_	_	_	_	_	O
15	trusting	_	UNK	_	NN	0	_	_	_	_	_	_	_	O
16	relationship	_	relationship	_	NN	0	_	_	_	_	_	_	_	O
17	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
18	work	_	work	_	NN	0	_	_	_	_	_	_	_	O
19	in	_	in	_	IN	0	_	_	_	_	_	_	_	O
20	an	_	an	_	DT	0	_	_	_	_	_	_	_	O
21	open	_	open	_	JJ	0	_	_	_	_	_	_	_	O
22	,	_	,	_	,	0	_	_	_	_	_	_	_	O
23	engaging	_	engage	_	VBG	0	_	_	_	_	_	_	_	O
24	and	_	and	_	CC	0	_	_	_	_	_	_	_	O
25	unk	_	UNK	_	JJ	0	_	_	_	_	_	_	_	O
26	manner	_	manner	_	NN	0	_	_	_	_	_	_	_	O
27	.	_	.	_	.	0	_	_	_	_	_	_	_	O

1	when	_	When	_	WRB	0	_	_	_	_	_	_	_	O
