
1	when	_	When	_	WRB	7	_	_	_	_	_	_	_	O
2	working	_	work	_	VBG	7	_	_	_	_	_	work.v	Being_employed	O
3	with	_	with	_	IN	7	_	_	_	_	_	_	_	B-Place_of_employment
4	people	_	people	_	NNS	7	_	_	_	_	_	_	_	I-Place_of_employment
5	with	_	with	_	IN	7	_	_	_	_	_	_	_	I-Place_of_employment
6	depression	_	UNK	_	NN	7	_	_	_	_	_	_	_	I-Place_of_employment
7	and	_	and	_	CC	7	_	_	_	_	_	_	_	O
8	their	_	their	_	PRP$	7	_	_	_	_	_	_	_	O
9	families	_	family	_	NNS	7	_	_	_	_	_	_	_	O
10	or	_	or	_	CC	7	_	_	_	_	_	_	_	O
11	carers	_	UNK	_	NNS	7	_	_	_	_	_	_	_	O
12	:	_	:	_	:	7	_	_	_	_	_	_	_	O
13	provide	_	provide	_	NN	7	_	_	_	_	_	_	_	O
14	and	_	and	_	CC	7	_	_	_	_	_	_	_	O
15	work	_	work	_	NN	7	_	_	_	_	_	_	_	O
16	proficiently	_	UNK	_	RB	7	_	_	_	_	_	_	_	O
17	with	_	with	_	IN	7	_	_	_	_	_	_	_	O
18	independent	_	independent	_	JJ	7	_	_	_	_	_	_	_	O
19	interpreters	_	UNK	_	NNS	7	_	_	_	_	_	_	_	O
20	(	_	(	_	(	7	_	_	_	_	_	_	_	O
21	that	_	that	_	DT	7	_	_	_	_	_	_	_	O
22	is	_	be	_	VBZ	7	_	_	_	_	_	_	_	O
23	,	_	,	_	,	7	_	_	_	_	_	_	_	O
24	someone	_	someone	_	NN	7	_	_	_	_	_	_	_	O
25	who	_	who	_	WP	7	_	_	_	_	_	_	_	O
26	is	_	be	_	VBZ	7	_	_	_	_	_	_	_	O
27	not	_	not	_	RB	7	_	_	_	_	_	_	_	O
28	known	_	know	_	VBN	7	_	_	_	_	_	_	_	O
29	to	_	to	_	TO	7	_	_	_	_	_	_	_	O
30	the	_	the	_	DT	7	_	_	_	_	_	_	_	O
31	person	_	person	_	NN	7	_	_	_	_	_	_	_	O
32	with	_	with	_	IN	7	_	_	_	_	_	_	_	O
33	depression	_	UNK	_	NN	7	_	_	_	_	_	_	_	O
34	)	_	)	_	)	7	_	_	_	_	_	_	_	O
35	if	_	if	_	IN	7	_	_	_	_	_	_	_	O
36	needed	_	need	_	VBN	7	_	_	_	_	_	_	_	O
37	.	_	.	_	.	7	_	_	_	_	_	_	_	O

1	when	_	When	_	WRB	7	_	_	_	_	_	_	_	O
2	working	_	work	_	VBG	7	_	_	_	_	_	_	_	O
3	with	_	with	_	IN	7	_	_	_	_	_	_	_	O
4	people	_	people	_	NNS	7	_	_	_	_	_	people.n	People	S-Person
5	with	_	with	_	IN	7	_	_	_	_	_	_	_	O
6	depression	_	UNK	_	NN	7	_	_	_	_	_	_	_	O
7	and	_	and	_	CC	7	_	_	_	_	_	_	_	O
8	their	_	their	_	PRP$	7	_	_	_	_	_	_	_	O
9	families	_	family	_	NNS	7	_	_	_	_	_	_	_	O
10	or	_	or	_	CC	7	_	_	_	_	_	_	_	O
11	carers	_	UNK	_	NNS	7	_	_	_	_	_	_	_	O
12	:	_	:	_	:	7	_	_	_	_	_	_	_	O
13	provide	_	provide	_	NN	7	_	_	_	_	_	_	_	O
14	and	_	and	_	CC	7	_	_	_	_	_	_	_	O
15	work	_	work	_	NN	7	_	_	_	_	_	_	_	O
16	proficiently	_	UNK	_	RB	7	_	_	_	_	_	_	_	O
17	with	_	with	_	IN	7	_	_	_	_	_	_	_	O
18	independent	_	independent	_	JJ	7	_	_	_	_	_	_	_	O
19	interpreters	_	UNK	_	NNS	7	_	_	_	_	_	_	_	O
20	(	_	(	_	(	7	_	_	_	_	_	_	_	O
21	that	_	that	_	DT	7	_	_	_	_	_	_	_	O
22	is	_	be	_	VBZ	7	_	_	_	_	_	_	_	O
23	,	_	,	_	,	7	_	_	_	_	_	_	_	O
24	someone	_	someone	_	NN	7	_	_	_	_	_	_	_	O
25	who	_	who	_	WP	7	_	_	_	_	_	_	_	O
26	is	_	be	_	VBZ	7	_	_	_	_	_	_	_	O
27	not	_	not	_	RB	7	_	_	_	_	_	_	_	O
28	known	_	know	_	VBN	7	_	_	_	_	_	_	_	O
29	to	_	to	_	TO	7	_	_	_	_	_	_	_	O
