Expression multi-termes	C-Value																																																																										
recommandation	45.0																																																																										
l objectif	20.6045																																																																										
hba1c	20.0																																																																										
sulfamide hypoglycémiant	19.0196																																																																										
type 2	19.0196																																																																										
insuline	19.0																																																																										
contrôle glycémique	17.4346																																																																										
patients	17.0																																																																										
traitement	17.0																																																																										
patients diabétiques de type 2	15.5098																																																																										
prise	15.0																																																																										
autosurveillance glycémique	14.2647																																																																										
mesures hygiéno-diététiques	14.2647																																																																										
diabète de type	14.0																																																																										
hypoglycémies	14.0																																																																										
prise de poids	14.0																																																																										
prise en charge	14.0																																																																										
sulfamide	14.0																																																																										
diabète de type 2	13.9316																																																																										
patients diabétiques de type	13.9316																																																																										
santé	13.0																																																																										
type	13.0																																																																										
traitement médicamenteux	12.6797																																																																										
association sulfamide hypoglycémiant	12.0																																																																										
diabète	12.0																																																																										
diabétiques de type	12.0																																																																										
recommandations	12.0																																																																										
patients diabétiques	11.0947																																																																										
association	11.0																																																																										
cas	11.0																																																																										
contrôle	11.0																																																																										
fonction	11.0																																																																										
traitement médicamenteux du contrôle glycémique	10.3399																																																																										
autosurveillance	10.0																																																																										
inférieure ou égale	10.0																																																																										
inhibiteurs	10.0																																																																										
mesures	10.0																																																																										
metformine	10.0																																																																										
patient	10.0																																																																										
association sulfamide	9.5098																																																																										
traitement médicamenteux du contrôle	9.2877																																																																										
objectif	9.0																																																																										
personnes	9.0																																																																										
stratégie	9.0																																																																										
mise en place de mesures hygiéno-diététiques	8.4221																																																																										
adaptation des doses	8.0																																																																										
charge	8.0																																																																										
doses	8.0																																																																										
dpp-4	8.0																																																																										
inférieur ou égal	8.0																																																																										
inhibiteurs des alphaglucosidases	8.0																																																																										
l autosurveillance glycémique	8.0																																																																										
état de santé	8.0																																																																										
hba1c inférieure	7.9248																																																																										
objectifs glycémiques	7.9248																																																																										
personnes âgées	7.9248																																																																										
stratégie médicamenteuse	7.9248																																																																										
mise en place de mesures	7.7549																																																																										
place de mesures hygiéno-diététiques efficaces	7.7549																																																																										
préalable nécessaire au traitement médicamenteux	7.7549																																																																										
stratégie médicamenteuse du contrôle glycémique	7.7549																																																																										
absence	7.0																																																																										
cible	7.0																																																																										
hypoglycémie	7.0																																																																										
monothérapie	7.0																																																																										
place	7.0																																																																										
poids	7.0																																																																										
objectif inférieur ou égal	6.9658																																																																										
place de mesures hygiéno-diététiques	6.9658																																																																										
préalable nécessaire au traitement	6.9658																																																																										
recommandations de bonne pratique	6.9658																																																																										
rédaction de la recommandation	6.9658																																																																										
stratégie médicamenteuse du contrôle	6.9658																																																																										
écart à l objectif	6.9658																																																																										
assurance maladie	6.3399																																																																										
bonne pratique	6.3399																																																																										
cette recommandation	6.3399																																																																										
insuffisance rénale	6.3399																																																																										
l autosurveillance	6.3399																																																																										
ml min	6.3399																																																																										
objectif glycémique	6.3399																																																																										
recours éventuel	6.3399																																																																										
absence de données	6.0																																																																										
autorité de santé	6.0																																																																										
cette	6.0																																																																										
données	6.0																																																																										
glp-1	6.0																																																																										
l argumentaire scientifique	6.0																																																																										
mesures hygiéno-diététiques efficaces	6.0																																																																										
mise en place	6.0																																																																										
place de mesures	6.0																																																																										
pratique	6.0																																																																										
recommandations de bonne	6.0																																																																										
schémas thérapeutiques suivants	6.0																																																																										
taux	6.0																																																																										
traitements	6.0																																																																										
élaboration de recommandations de bonne pratique	5.6147																																																																										
fonction du profil des patients	5.1699																																																																										
place de l autosurveillance glycémique	5.1699																																																																										
prise de poids sous insuline	5.1699																																																																										
recours éventuel à l insuline	5.1699																																																																										
adaptation	5.0																																																																										
mise	5.0																																																																										
molécules	5.0																																																																										
objectifs	5.0																																																																										
recours	5.0																																																																										
vie	5.0																																																																										
argumentaire scientifique	4.7549																																																																										
cas général	4.7549																																																																										
différentes stratégies	4.7549																																																																										
haute autorité	4.7549																																																																										
hba1c inférieur	4.7549																																																																										
hygiéno-diététiques efficaces	4.7549																																																																										
l absence	4.7549																																																																										
l insuline	4.7549																																																																										
objectif inférieur	4.7549																																																																										
préalable nécessaire	4.7549																																																																										
schémas thérapeutiques	4.7549																																																																										
thérapeutiques suivants	4.7549																																																																										
inhibiteurs de la dpp-4	4.6439																																																																										
long de la prise	4.6439																																																																										
place de l autosurveillance	4.6439																																																																										
plupart des patients diabétiques	4.6439																																																																										
##########end########## l instauration	4.0																																																																										
alphaglucosidases	4.0																																																																										
application	4.0																																																																										
asg	4.0																																																																										
assurance	4.0																																																																										
avis	4.0																																																																										
bithérapie	4.0																																																																										
cas de difficulté	4.0																																																																										
charge des patients	4.0																																																																										
critère	4.0																																																																										
d hypoglycémie n	4.0																																																																										
différentes stratégies thérapeutiques	4.0																																																																										
diminution de l	4.0																																																																										
dose	4.0																																																																										
définition	4.0																																																																										
efficience	4.0																																																																										
espérance de vie	4.0																																																																										
fonction du profil	4.0																																																																										
glycémie	4.0																																																																										
groupe	4.0																																																																										
groupe de travail	4.0																																																																										
insuffisance	4.0																																																																										
insuffisance rénale chronique	4.0																																																																										
insulinothérapie	4.0																																																																										
jusqu	4.0																																																																										
l objectif glycémique	4.0																																																																										
maladie	4.0																																																																										
min 1,73 m	4.0																																																																										
mise en uvre	4.0																																																																										
ml	4.0																																																																										
ml min 1,73	4.0																																																																										
monothérapie par metformine	4.0																																																																										
morbi-mortalité	4.0																																																																										
patients sous antidiabétiques	4.0																																																																										
plupart des patients	4.0																																																																										
poids sous insuline	4.0																																																																										
pour	4.0																																																																										
prescription	4.0																																																																										
profil	4.0																																																																										
profil des patients	4.0																																																																										
prévention des complications	4.0																																																																										
qualité de vie	4.0																																																																										
réalisation	4.0																																																																										
réserve	4.0																																																																										
stratégies	4.0																																																																										
travail	4.0																																																																										
élaboration de recommandations	4.0																																																																										
état	4.0																																																																										
antécédent cardio-vasculaire	3.1699																																																																										
cent d	3.1699																																																																										
classes thérapeutiques	3.1699																																																																										
coma hyperosmolaire	3.1699																																																																										
comparaison directe	3.1699																																																																										
d hypoglycémie	3.1699																																																																										
effets secondaires	3.1699																																																																										
hypoglycémie n	3.1699																																																																										
hypoglycémie sévère	3.1699																																																																										
inhibiteurs dpp-4	3.1699																																																																										
l association	3.1699																																																																										
l efficience	3.1699																																																																										
l hba1c	3.1699																																																																										
l hyperglycémie	3.1699																																																																										
l insulinothérapie	3.1699																																																																										
longue durée	3.1699																																																																										
min 1,73	3.1699																																																																										
méthode recommandations	3.1699																																																																										
nouvelles molécules	3.1699																																																																										
objectif n	3.1699																																																																										
patientes enceintes	3.1699																																																																										
pratique clinique	3.1699																																																																										
pronostic obstétrical	3.1699																																																																										
réalisation systématique	3.1699																																																																										
rénale chronique	3.1699																																																																										
situation préoccupante	3.1699																																																																										
stratégies thérapeutiques	3.1699																																																																										
éducation thérapeutique	3.1699																																																																										
3b	3.0																																																																										
absence de données bibliographiques sur la comparaison	3.0																																																																										
accord	3.0																																																																										
accord entre experts du groupe de travail	3.0																																																																										
ans	3.0																																																																										
antidiabétiques	3.0																																																																										
aspects majeurs de la prise en charge	3.0																																																																										
autorité	3.0																																																																										
autosurveillance glycémique chez les patients sous antidiabétiques	3.0																																																																										
autosurveillance glycémique pour la prévention des hypoglycémies	3.0																																																																										
champ	3.0																																																																										
complications	3.0																																																																										
critères	3.0																																																																										
difficulté sur la définition de l objectif	3.0																																																																										
diminution	3.0																																																																										
données dans les sous-groupes de patients diabétiques	3.0																																																																										
durée	3.0																																																																										
effets	3.0																																																																										
effets indésirables des traitements chez les patients	3.0																																																																										
femmes	3.0																																																																										
glycémies	3.0																																																																										
grossesse	3.0																																																																										
has	3.0																																																																										
haute	3.0																																																																										
long de la prise en charge2.1 patients	3.0																																																																										
moyens	3.0																																																																										
méthode	3.0																																																																										
particulier chez les patients avec une clairance	3.0																																																																										
patients avec une clairance de la créatinine	3.0																																																																										
personne	3.0																																																																										
posologie	3.0																																																																										
pratique sur la stratégie médicamenteuse du contrôle	3.0																																																																										
préalable	3.0																																																																										
prévention	3.0																																																																										
qualité	3.0																																																																										
rédaction	3.0																																																																										
résultats	3.0																																																																										
réveil	3.0																																																																										
saisine de la direction de la sécurité	3.0																																																																										
schéma	3.0																																																																										
schémas	3.0																																																																										
stades	3.0																																																																										
surveillance	3.0																																																																										
écart	3.0																																																																										
absence de données sur l association	2.8074																																																																										
absence de traitement médicamenteux du contrôle	2.8074																																																																										
adaptation des doses selon la prescription	2.8074																																																																										
besoin en fonction du schéma insulinique	2.8074																																																																										
cas de difficulté sur la définition	2.8074																																																																										
compte au cours de la prise	2.8074																																																																										
cours de la prise en charge	2.8074																																																																										
coût de la prise en charge	2.8074																																																																										
données bibliographiques sur la comparaison directe	2.8074																																																																										
données dans les sous-groupes de patients	2.8074																																																																										
durée sur le diabète de type	2.8074																																																																										
efficience sur saisine de la direction	2.8074																																																																										
fois par an selon le guide	2.8074																																																																										
gradation de la plupart des recommandations4	2.8074																																																																										
long de la prise en charge	2.8074																																																																										
long de la prise en charge2.1	2.8074																																																																										
mesure de la qualité de vie	2.8074																																																																										
morbi-mortalité dans le diabète de type	2.8074																																																																										
pondération de la durée de vie	2.8074																																																																										
prise en charge des patients diabétiques	2.8074																																																																										
prise en charge des personnes âgées	2.8074																																																																										
qualité de la prise en charge	2.8074																																																																										
retrait du marché de la rosiglitazone	2.8074																																																																										
schéma général de la stratégie médicamenteuse	2.8074																																																																										
terme de diminution de l hyperglycémie	2.8074																																																																										
traitements sur la morbi-mortalité du diabète	2.8074																																																																										
états de santé dans une étude	2.8074																																																																										
##########end########## lors de la prescription	2.585																																																																										
##########end########## objectif de la recommandation	2.585																																																																										
absence de données de morbi-mortalité	2.585																																																																										
accord entre experts du groupe	2.585																																																																										
altération de la fonction rénale	2.585																																																																										
artériopathie oblitérante des membres inférieurs	2.585																																																																										
aspects majeurs de la prise	2.585																																																																										
autosurveillance glycémique chez les patients	2.585																																																																										
autosurveillance glycémique pour la prévention	2.585																																																																										
besoin en fonction du schéma	2.585																																																																										
bonne pratique sur la stratégie	2.585																																																																										
clairance de la créatinine 45	2.585																																																																										
conception10 lors de la rédaction	2.585																																																																										
consultation du groupe de lecture	2.585																																																																										
coût journalier du traitement pharmacologique	2.585																																																																										
différents traitements sur la morbi-mortalité	2.585																																																																										
direction de la sécurité sociale	2.585																																																																										
discussion du groupe de travail	2.585																																																																										
données bibliographiques sur la comparaison	2.585																																																																										
données nouvelles de la littérature	2.585																																																																										
définition de l objectif glycémique	2.585																																																																										
déshydratation avec insuffisance rénale fonctionnelle	2.585																																																																										
emploi spécifiques à l insuffisance	2.585																																																																										
envisagées8 lors de la rédaction	2.585																																																																										
experts du groupe de travail	2.585																																																																										
faible gradation de la plupart	2.585																																																																										
fonction des caractéristiques du patient	2.585																																																																										
fonction des glycémies au réveil	2.585																																																																										
intérêt d'un bon contrôle	2.585																																																																										
jours en fonction des glycémies	2.585																																																																										
limitations fonctionnelles motrices et cognitives	2.585																																																																										
longue durée sur le diabète	2.585																																																																										
mesures glycémiques capillaires par jour	2.585																																																																										
mois à la dose maximale	2.585																																																																										
molécules dans la stratégie médicamenteuse	2.585																																																																										
morbi-mortalité du diabète de type	2.585																																																																										
médecine fondée sur les preuves	2.585																																																																										
médicaments antidiabétiques en comparaison directe	2.585																																																																										
méthode recommandations pour la pratique	2.585																																																																										
niveau de preuve des données	2.585																																																																										
nouvelles molécules dans la stratégie	2.585																																																																										
personnes âgées fragiles ou malades	2.585																																																																										
pratique sur la stratégie médicamenteuse	2.585																																																																										
prise en charge des patients	2.585																																																																										
prise en charge des personnes	2.585																																																																										
prise en charge du patient	2.585																																																																										
prévention des complications chroniques microvasculaires	2.585																																																																										
rapport différentiel entre les coûts	2.585																																																																										
recommandation 2c avec une comorbidité	2.585																																																																										
recommandations pour la pratique clinique	2.585																																																																										
recours éventuel à un(e) infirmier(ère)	2.585																																																																										
réalisation adéquate de l injection	2.585																																																																										
réalisation systématique de l autosurveillance	2.585																																																																										
réserve du respect des contre-indications	2.585																																																																										
schéma général de la stratégie	2.585																																																																										
stratégie médicamenteuse en l absence	2.585																																																																										
thème du diabète de type	2.585																																																																										
traitements chez les patients diabétiques	2.585																																																																										
trithérapie9 lors de la rédaction	2.585																																																																										
échec de la bithérapie orale	2.585																																																																										
état de santé en raison	2.585																																																																										
##########end########## élaboration de recommandations	2.3219																																																																										
2c avec une comorbidité	2.3219																																																																										
absence de données bibliographiques	2.3219																																																																										
absence de traitement médicamenteux	2.3219																																																																										
adaptation des doses 7	2.3219																																																																										
affection de longue durée	2.3219																																																																										
altération de la fonction	2.3219																																																																										
amaigrissement et flou visuel	2.3219																																																																										
an selon le guide	2.3219																																																																										
analyse de la littérature	2.3219																																																																										
antidiabétiques en comparaison directe	2.3219																																																																										
apparition de nouvelles molécules	2.3219																																																																										
application des mesures hygiéno-diététiques	2.3219																																																																										
artériopathie oblitérante des membres	2.3219																																																																										
association avec l insuline	2.3219																																																																										
assurance maladie des travailleurs	2.3219																																																																										
bon état de santé	2.3219																																																																										
bonnes pratiques professionnelles service	2.3219																																																																										
bout de 6 mois	2.3219																																																																										
catégories de personnes âgées	2.3219																																																																										
champ de la santé	2.3219																																																																										
champ du contrôle glycémique	2.3219																																																																										
charge des patients adultes	2.3219																																																																										
charge des patients diabétiques	2.3219																																																																										
charge des personnes âgées	2.3219																																																																										
choix de l objectif	2.3219																																																																										
clairance de la créatinine	2.3219																																																																										
collège de la haute	2.3219																																																																										
contre-indication à la metformine	2.3219																																																																										
contrôle glycémique du diabète	2.3219																																																																										
cours de la prise	2.3219																																																																										
court terme de diminution	2.3219																																																																										
coût de la prise	2.3219																																																																										
coût journalier du traitement	2.3219																																																																										
critères finaux de morbi-mortalité	2.3219																																																																										
de différentes stratégies thérapeutiques	2.3219																																																																										
diabète de type 21.1	2.3219																																																																										
difficulté sur la définition	2.3219																																																																										
diminution de l hba1c	2.3219																																																																										
