1.2 diagnostic	1	-9.223372036854776E14	1	Bien que ce common.document ne détaille pas leurs pratiques spécifiques, cette recommandation peut également être utile à tous professionnels de santé et travailleurs sociaux (assistantes sociales, etc.) concernés par le thème, notamment dans la mesure où ils participent à la mise en uvre des traitements non médicamenteux, à l éducation thérapeutique du patient et au maintien de ses activités sociales et professionnelles1 Cfparagraphe 1.2 Diagnostic différentiel.
1.2 diagnostic différentiel	1	-9.223372036854776E14	1	Bien que ce common.document ne détaille pas leurs pratiques spécifiques, cette recommandation peut également être utile à tous professionnels de santé et travailleurs sociaux (assistantes sociales, etc.) concernés par le thème, notamment dans la mesure où ils participent à la mise en uvre des traitements non médicamenteux, à l éducation thérapeutique du patient et au maintien de ses activités sociales et professionnelles1 Cfparagraphe 1.2 Diagnostic différentiel.
1.4.1 définition	0	-9.223372036854776E14	1	Pour certains patients, l appropriation du diagnostic de dépression peut être aidée par l utilisation d un auto-questionnaire1.4 Évaluation de la sévérité de l épisode dépressif caractérisé 1.4.1 Définition.	
1.6 indications	0	-9.223372036854776E14	2	En cas de risque suicidaire faible, il est recommandé de rester vigilant et de réévaluer le niveau d urgence1.6 Indications d une hospitalisation.	En l absence de critères d hospitalisation (cfparagraphe 1.6 Indications d hospitalisation), il est recommandé d instaurer le traitement antidépresseur d emblée et d orienter rapidement le patient vers un psychiatre pour une prise en charge associant une psychothérapie et un antidépresseur.	
12 semaines	1	-9.223372036854776E14	1	Il est recommandé :   d instaurer le traitement antidépresseur à dose faible et d augmenter la dose lentement jusqu à la dose minimale efficace ;   de réaliser une évaluation de l efficacité de l antidépresseur 6 à 12 semaines après obtention de la dose minimale efficace.	
2 semaines	1	-9.223372036854776E14	3	Les symptômes d un épisode dépressif caractérisé doivent :   être présents durant une période minimum de 2 semaines, et chacun d entre eux à un degré de sévérité certain, presque tous les jours ;   avoir représenté un changement par rapport au fonctionnement antérieur (professionnel, social, familial) ;   induire une détresse significative.	Il est recommandé de ne pas prescrire un antidépresseur pour traiter :   les symptômes dépressifs subsyndromiques : symptômes en nombre insuffisant pour remplir les critères d un EDC ou symptômes d intensité sévère mais d une durée inférieure à 2 semaines (selon la CIM-10 ou le DSM-5) ;   les épisodes dépressifs caractérisés d intensité légère (selon la CIM-10 ou le DSM-5)2.3.1 Stratégie thérapeutique selon l intensité de l EDC.	Il est recommandé :   d instaurer le traitement antidépresseur à dose faible et d augmenter la dose lentement jusqu à la dose minimale efficace ;   de réaliser une évaluation de l efficacité de l antidépresseur 6 à 12 semaines après obtention de la dose minimale efficace.	
2)6	0	-9.223372036854776E14	1	Les outils d évaluation standardisés sont des aides au diagnostic qui doivent être soumis au jugement du clinicien, notamment (cfannexe 2)6 :   PHQ-2 ou PHQ-9 : le PHQ est un auto-questionnaire qui a l avantage de disposer de deux formes, PHQ-2 et PHQ-9.	
2.3.1 principes	1	-9.223372036854776E14	1	Il est recommandé de prodiguer des conseils de mode de vie après avoir établi une alliance thérapeutique :   respecter le rythme nycthéméral ;   pratiquer une activité physique régulière ;   éviter la consommation d alcool et autres substances toxiques ;   encourager une activité sociale régulière ;   poursuivre les activités habituellement intéressantes ou plaisantes2.3 Stratégie de prise en charge thérapeutique 2.3.1 Principes généraux.	
2.3.1 principes généraux	1	-9.223372036854776E14	1	Il est recommandé de prodiguer des conseils de mode de vie après avoir établi une alliance thérapeutique :   respecter le rythme nycthéméral ;   pratiquer une activité physique régulière ;   éviter la consommation d alcool et autres substances toxiques ;   encourager une activité sociale régulière ;   poursuivre les activités habituellement intéressantes ou plaisantes2.3 Stratégie de prise en charge thérapeutique 2.3.1 Principes généraux.	
6 mois	1	-9.223372036854776E14	3	L efficacité de la prise en charge sera évaluée après 4 à 8 semaines :   en cas de rémission complète, il recommandé de poursuivre le traitement antidépresseur éventuel 6 mois à 1 an après la rémission et poursuivre la psychothérapie éventuellement engagée ;   en cas de rémission partielle, il est recommandé de poursuivre la psychothérapie et d augmenter la posologie ou changer le traitement antidépresseur éventuel ;   en cas de persistance ou d aggravation des symptômes, il est recommandé de réévaluer le diagnostic et d envisager un EDC d intensité sévère► EDC d intensité sévère.	L efficacité de la prise en charge sera évaluée après 4 à 8 semaines :   en cas de rémission complète, il recommandé de poursuivre le traitement antidépresseur 6 mois à 1 an après la rémission et poursuivre la psychothérapie éventuellement engagée ;   en cas de rémission partielle ou bien de persistance ou d aggravation des symptômes, il est recommandé de reconsidérer la prise en charge en concertation avec le psychiatre, voire d envisager une hospitalisation du patient.	Il est souhaitable que la durée totale du traitement antidépresseur d un EDC se situe entre 6 mois et 1 an après rémission, dans le but de prévenir les rechutes.	
8 semaines	1	-9.223372036854776E14	3	L efficacité de la prise en charge sera évaluée après 4 à 8 semaines :   en cas de rémission partielle, il est recommandé de poursuivre la psychothérapie de soutien ;   en cas de persistance ou d aggravation des symptômes, il est recommandé de réévaluer le diagnostic et d envisager un EDC d intensité modérée► EDC d intensité modérée.	L efficacité de la prise en charge sera évaluée après 4 à 8 semaines :   en cas de rémission complète, il recommandé de poursuivre le traitement antidépresseur éventuel 6 mois à 1 an après la rémission et poursuivre la psychothérapie éventuellement engagée ;   en cas de rémission partielle, il est recommandé de poursuivre la psychothérapie et d augmenter la posologie ou changer le traitement antidépresseur éventuel ;   en cas de persistance ou d aggravation des symptômes, il est recommandé de réévaluer le diagnostic et d envisager un EDC d intensité sévère► EDC d intensité sévère.	L efficacité de la prise en charge sera évaluée après 4 à 8 semaines :   en cas de rémission complète, il recommandé de poursuivre le traitement antidépresseur 6 mois à 1 an après la rémission et poursuivre la psychothérapie éventuellement engagée ;   en cas de rémission partielle ou bien de persistance ou d aggravation des symptômes, il est recommandé de reconsidérer la prise en charge en concertation avec le psychiatre, voire d envisager une hospitalisation du patient.	
abandons	0	-9.223372036854776E14	1	Au terme de l évaluation de l épisode dépressif caractérisé, il est recommandé :   d informer le patient sur la nature des troubles dépressifs, les effets bénéfiques du traitement et les effets indésirables éventuels, et, si nécessaire ou utile, d informer l entourage du patient avec son accord ;   d établir avec le patient un projet thérapeutique afin d éviter les abandons de traitement ;   de réévaluer régulièrement le projet thérapeutique, et le réajuster si nécessaire2.2 Suivi et conseils de mode de vie.	
